Spine Id;Dendrite Segment;Distance to dendrite;Spine Position X;Spine Position Y;Spine Position Z;Spine Volume;Spine Area;Spine Length;Spine Mean Diameter;Spine Max Diameter;Spine Min Diameter;Spine Neck Length;Spine Neck Mean Diameter;Spine Neck Max Diameter;Spine Neck Min Diameter;Spine Neck Volume;Spine Orientation Angle;Spine Straightness;Spine Branchings
Apical-700000000;11641;1,05827;506,64;709,74;-1,91;0,59;4,24;2,15;0,59;0,96;0,4;1,03;0,43;0,46;0,4;0,12;-142,55;0,97;0
Apical-701000000;11641;0,88795;506,8;709,74;-2,16;0,31;2,72;1,7;0,56;0,96;0,4;0,82;0,43;0,46;0,4;0,15;-120,97;0,96;0
Apical-702000000;12581;1,13533;500,6;713,05;-0,71;0,56;4,21;2,23;0,5;0,96;0,4;1,1;0,4;0,42;0,4;0,1;-130,67;0,97;0
Apical-703000000;12578;1,08676;500,15;713,65;-1,22;0,25;2,49;1,88;0,43;0,48;0,4;1,3;0,41;0,42;0,4;0,19;-144,41;0,98;0
Apical-704000000;12581;0,660804;501,16;713,23;-0,79;0,11;1,21;0,97;0,4;0,4;0,4;0,31;0,4;0,4;0,4;0,08;-119,19;0,99;0
Apical-705000000;12577;0,58287;500,46;714;-1,54;0,09;0,94;0,75;0,49;0,68;0,4;0;0,4;0,4;0,4;0,05;-146,65;0,99;0
Apical-706000000;12952;0,430178;544,81;657,62;60,57;0,17;1,23;0,58;0,84;0,96;0,68;0;0;0;0;0;129,02;1;0
Apical-707000000;16190;1,19952;313,5;722,59;-18,97;0,2;1,75;1,16;0,44;0,48;0,4;0;0;0;0;0,14;-117,14;1;0
Apical-708000000;13853;1,99317;454,34;734,26;23,63;0,27;2,79;2,22;0,4;0,4;0,4;0;0;0;0;0,24;-73,58;1;0
Apical-709000000;13217;2,86605;458,43;724,76;14,78;0,3;2,47;1,54;0,56;0,68;0,48;0;0,53;0,53;0,53;0,24;-90;0,99;0
Apical-710000000;13756;1,68637;452,66;611,09;77,66;0,43;2,77;1,3;0,58;0,68;0,48;0;0;0;0;0,27;-27,93;1;0
Apical-711000000;5956;2,25715;477,6;694,31;-5,12;0,11;1,2;0,96;0,44;0,48;0,4;0;0;0;0;0,08;15,29;1;0
Apical-712000000;5995;3,00454;477,6;684,5;-4,39;0,31;3,18;2,53;0,4;0,4;0,4;0,78;0,4;0,4;0,4;0,28;2,68;1;0
Apical-713000000;9269;1,33272;433,92;578,8;39,76;0,45;2,86;1,34;0,54;0,68;0,4;0;0;0;0;0,28;52,78;1;0
Apical-714000000;9422;1,76027;413,73;552,52;53,01;0,17;1,76;1,4;0,44;0,48;0,4;0;0;0;0;0,13;134,18;1;0
Apical-715000000;7468;1,59219;483,12;583,61;-5,36;0,22;2,09;1,49;0,43;0,48;0,4;0;0,42;0,42;0,42;0,16;144,09;0,97;0
Apical-716000000;4349;2,30097;470,66;726,35;40,9;0,21;2,16;1,72;0,44;0,48;0,4;0;0;0;0;0,17;-18,8;1;0
Apical-717000000;14051;2,55143;440,84;708,09;78,17;0,25;2,59;2,06;0,44;0,48;0,4;0;0;0;0;0,22;149,87;1;0
Apical-718000000;4129;2,05522;509,59;735;49,17;0,47;4,01;2,65;0,48;0,48;0,48;0;0;0;0;0,41;-113,61;1;0
Apical-720000000;4140;1,25641;510,52;733,32;51,79;0,27;2,36;1,56;0,44;0,48;0,4;0;0;0;0;0,21;-133,28;1;0
Apical-721000000;9547;1,76503;483,41;680,45;-4,76;0,37;3,23;2,14;0,58;0,68;0,48;0;0;0;0;0,32;-106,49;1;0
Apical-723000000;1110;0,364479;681,75;723,97;76,86;0,64;4,4;2,34;0,85;1,4;0,53;1,03;0,59;0,7;0,53;0,47;-25,15;0,77;1
Apical-723000001;1114;1,78388;683,05;722,75;76,54;1,67;13,18;8,25;0,56;1,4;0,4;7,08;0,5;0,72;0,4;1,51;-54,93;0,73;0
Apical-723000002;1109;1,00991;680,79;723,47;76,55;0,35;3,19;2,27;0,6;1,76;0,4;1,51;0,44;0,58;0,4;0,29;-90,76;0,93;0
